Source,Provider,Model,$/M In,$/M Out,Blended $/M,Thinking/Reasoning,Type (MoE/Dense),Active Size,Total Size,AA Coding Index / Blended $,AA Coding Index / Input $,AA Coding Index / Output $,AA Coding Index,AA LiveCodeBench,AA Intelligence Index (AA),AA Coding Index (AA),AA Math Index (AA),AA MMLU-Pro,AA GPQA,AA HLE,AA SciCode,AA MATH-500,AA AIME,AA AIME 2025,AA IFBench,AA LCR,AA TerminalBench Hard,AA TAU-2,HF Aggregate Score,HF AIME 2026,HF EvasionBench,HF GPQA,HF GSM8K,HF HLE,HF HMMT 2026,HF MMLU-Pro,HF OlmOCR,HF SWE-Pro,HF SWE-bench Verified,HF TerminalBench,Vantage SWE-bench Resolved %,Vantage SkateBench Score,Vantage HLE %
anthropic api,Anthropic,haiku-4.5,$1.000,$5.000,$2.0000,Yes,Dense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claude code (plan),Anthropic,sonnet-4.6,$3.000,$15.000,$6.0000,Effort levels,Dense,,,8.4833,16.9667,3.3933,50.9,,51.7,50.9,,,0.875,0.3,0.468,,,,0.566,0.707,0.53,0.757,,,,,,,,,,,,,,69.04761904761905,49
claude code (plan),Anthropic,opus-4.6,$5.000,$25.000,$10.0000,Effort levels,Dense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
codex cli (plan),OpenAI,gpt-5.1-codex-mini,$0.250,$2.000,$0.6875,Effort levels,Dense,,,52.9455,145.6000,18.2000,36.4,0.836,38.6,36.4,91.7,0.82,0.813,0.169,0.426,,,0.917,0.679,0.627,0.333,0.629,,,,,,,,,,,,,,,
codex cli (plan),OpenAI,gpt-5.4-mini,$0.750,$4.500,$1.6875,Effort levels,Dense,,,30.5185,68.6667,11.4444,51.5,,48.1,51.5,,,0.875,0.266,0.499,,,,0.733,0.693,0.523,0.737,,,,,,,,,,,,,,,
codex cli (plan),OpenAI,gpt-5.1,$1.250,$10.000,$3.4375,Effort levels,Dense,,,13.0036,35.7600,4.4700,44.7,0.868,47.7,44.7,94,0.87,0.873,0.265,0.433,,,0.94,0.729,0.75,0.455,0.819,,,,,,,,,,,,,,91.42857142857143,
codex cli (plan),OpenAI,gpt-5,$1.250,$10.000,$3.4375,No,Dense,,,7.3018,20.0800,2.5100,25.1,0.558,23.9,25.1,31.7,0.806,0.673,0.054,0.388,0.861,0.367,0.317,0.456,0.25,0.182,0.67,,,,,,,,,,,,,75.6,98.09523809523809,39.800000000000004
codex cli (plan),OpenAI,gpt-5.1-codex-max,$1.250,$10.000,$3.4375,Effort levels,Dense,,,10.6473,29.2800,3.6600,36.6,0.849,43.1,36.6,95.7,0.86,0.86,0.234,0.402,,,0.957,0.7,0.673,0.348,0.83,,,,,,,,,,,,,,,
codex cli (plan),OpenAI,gpt-5.1-codex,$1.250,$10.000,$3.4375,Effort levels,Dense,,,10.6473,29.2800,3.6600,36.6,0.849,43.1,36.6,95.7,0.86,0.86,0.234,0.402,,,0.957,0.7,0.673,0.348,0.83,,,,,,,,,,,,,,91.42857142857143,
codex cli (plan),OpenAI,gpt-5-codex,$1.250,$10.000,$3.4375,Effort levels,Dense,,,11.3164,31.1200,3.8900,38.9,0.84,44.6,38.9,98.7,0.865,0.837,0.256,0.409,,,0.987,0.741,0.69,0.379,0.868,,,,,,,,,,,,,,,
